Lab_Number,Date_BP,SD,Site_Number,Site_ID,County
AA-57738,2228,45,D:,1755,"Navajo, AZ"
AA-57739,2302,45,D:,1755,"Navajo, AZ"
A-5284,2775,45,P:,1143,"Navajo, AZ"
DIC-1089,920,45,D:11:1158,1756,"Navajo, AZ"
AA-61202,2127,46,D:,1755,"Navajo, AZ"
AA-57729,2135,46,D:,1755,"Navajo, AZ"
AA-57732,2186,46,D:,1755,"Navajo, AZ"
AA-57735,2221,46,D:,1755,"Navajo, AZ"
AA-57740,2133,46,D:,1755,"Navajo, AZ"
AA-57731,2245,47,D:,1755,"Navajo, AZ"
AA-61195,2200,49,D:,1755,"Navajo, AZ"
AA-61196,2186,49,D:,1755,"Navajo, AZ"
AA-61197,2179,49,D:,1755,"Navajo, AZ"
Beta-3959,2050,50,D:11:1504,1763,"Navajo, AZ"
Beta-3960,2080,50,D:11:1504,1763,"Navajo, AZ"
Beta-3963,2380,50,D:11:244,1769,"Navajo, AZ"
Beta-5637,1330,50,D:11:3131,1772,"Navajo, AZ"
Beta-5643,1640,50,D:11:3133,1773,"Navajo, AZ"
Beta-3953,2060,50,D:7:3107,1792,"Navajo, AZ"
Beta-3954,1990,50,D:7:3107,1792,"Navajo, AZ"
Beta-3955,2270,50,D:7:3107,1792,"Navajo, AZ"
Beta-3956,2210,50,D:7:3107,1792,"Navajo, AZ"
Beta-3957,2140,50,D:7:3107,1792,"Navajo, AZ"
Beta-57252,1290,50,P:60:31,1148,"Navajo, AZ"
Beta-59406,1010,50,P:4:22,1144,"Navajo, AZ"
Beta-50866,840,50,P:60:116,1145,"Navajo, AZ"
Beta-57255,1410,50,P:60:31,1148,"Navajo, AZ"
Beta-59841,1350,50,P:60:31,1148,"Navajo, AZ"
Beta-59842,1300,50,P:60:31,1148,"Navajo, AZ"
Beta-56793,670,50,P:61:123,1149,"Navajo, AZ"
Beta-56794,660,50,P:61:123,1149,"Navajo, AZ"
Beta-73681,850,50,P:61:123,1149,"Navajo, AZ"
Beta-73682,680,50,P:61:123,1149,"Navajo, AZ"
Beta-73683,800,50,P:61:123,1149,"Navajo, AZ"
Beta-73684,770,50,P:61:123,1149,"Navajo, AZ"
Beta-73685,790,50,P:61:125,1150,"Navajo, AZ"
Beta-73687,1630,50,P:61:126,1151,"Navajo, AZ"
Beta-73690,1020,50,P:61:127,1152,"Navajo, AZ"
Beta-73691,1020,50,P:61:127,1152,"Navajo, AZ"
Beta-140847,690,50,P:9:28,1159,"Navajo, AZ"
Beta-118048,7530,50,J:14:13,1426,"Navajo, AZ"
Beta-79148,1920,50,"J:14:17,NNAD",1427,"Navajo, AZ"
Beta-175653,7080,50,"J:14:26,NNAD",1430,"Navajo, AZ"
Beta-79153,1660,50,"J:14:26,NNAD",1430,"Navajo, AZ"
Beta-79157,980,50,"J:14:28,NNAD",1431,"Navajo, AZ"
Beta-79160,1610,50,"J:14:31,NNAD",1432,"Navajo, AZ"
Beta-79161,1580,50,"J:14:31,NNAD",1432,"Navajo, AZ"
Beta-101394,1820,50,J:14:34NNAD,1433,"Navajo, AZ"
Beta-101395,1710,50,J:14:34NNAD,1433,"Navajo, AZ"
Beta-87912,1810,50,"J:14:38,NNAD",1437,"Navajo, AZ"
Beta-101391,2120,50,"J:2:55,NNAD",1439,"Navajo, AZ"
Beta-101392,810,50,"J:3:8,NNAD",1442,"Navajo, AZ"
Beta-87898,2140,50,"J:3:8,NNAD",1442,"Navajo, AZ"
Beta-87902,1840,50,"J:3:8,NNAD",1442,"Navajo, AZ"
Beta-87904,2210,50,"J:3:8,NNAD",1442,"Navajo, AZ"
Beta-87905,2210,50,"J:3:8,NNAD",1442,"Navajo, AZ"
Beta-94761,1990,50,"J:3:8,NNAD",1442,"Navajo, AZ"
Beta-94762,1740,50,"J:3:8,NNAD",1442,"Navajo, AZ"
Beta-94763,2080,50,"J:3:8,NNAD",1442,"Navajo, AZ"
DIC-1090,1150,50,D:11:1158,1756,"Navajo, AZ"
DIC-1082,2260,50,D:11:1161,1757,"Navajo, AZ"
DIC-1083,1940,50,D:11:1161,1757,"Navajo, AZ"
Beta-10006,1210,50,D:11:2030,1764,"Navajo, AZ"
Beta-10007,940,50,D:11:2030,1764,"Navajo, AZ"
Beta-5629,1990,50,D:11:2045,1765,"Navajo, AZ"
Beta-5625,1470,50,D:11:2068,1767,"Navajo, AZ"
Beta-5627,1470,50,D:11:2068,1767,"Navajo, AZ"
Beta-5630,2100,50,D:11:2126,1768,"Navajo, AZ"
Beta-4511,2560,50,D:11:244,1769,"Navajo, AZ"
DIC-1207,2340,50,D:7:1108,1777,"Navajo, AZ"
Beta-5617,2500,50,D:7:2085,1781,"Navajo, AZ"
DIC-1617,2030,50,D:7:236,1783,"Navajo, AZ"
Beta-5615,2120,50,D:7:254,1785,"Navajo, AZ"
Beta-4494,1950,50,D:7:3003,1787,"Navajo, AZ"
Beta-4504,2240,50,D:7:3013,1788,"Navajo, AZ"
Beta-4499,1740,50,D:7:3107,1792,"Navajo, AZ"
Beta-4502,2060,50,D:7:3107,1792,"Navajo, AZ"
Beta-97790,2230,50,"D:7:618,SIU",1796,"Navajo, AZ"
DIC-1605,2070,50,D:7:713,1797,"Navajo, AZ"
DIC-1606,1940,50,D:7:713,1797,"Navajo, AZ"
"Beta-156068,ETH",2100,50,J:14:23,1429,"Navajo, AZ"
Beta-79151,830,50,J:14:23,1429,"Navajo, AZ"
AA-19524,1750,50,"J:14:31,NNAD",1432,"Navajo, AZ"
Beta-118050,1760,50,J:14:34NNAD,1433,"Navajo, AZ"
Beta-118051,1720,50,J:14:34NNAD,1433,"Navajo, AZ"
"Beta-156067,ETH",2180,50,"J:3:8,NNAD",1442,"Navajo, AZ"
Beta-118046,3360,50,J:14:13,1426,"Navajo, AZ"
Beta-118047,3070,50,J:14:13,1426,"Navajo, AZ"
Beta-94757,7960,50,"J:3:7,NNAD",1441,"Navajo, AZ"
Beta-94758,1820,50,"J:3:7,NNAD",1441,"Navajo, AZ"
AA-57733,2146,52,D:,1755,"Navajo, AZ"
AA-61193,2208,53,D:,1755,"Navajo, AZ"
AA-61198,2075,54,D:,1755,"Navajo, AZ"
AA-61199,2113,54,D:,1755,"Navajo, AZ"
AA-61200,2096,54,D:,1755,"Navajo, AZ"
AA-61201,2205,55,D:,1755,"Navajo, AZ"
UGA-2122,1180,55,P:,1143,"Navajo, AZ"
AA-21783,1100,55,J:14:41,1438,"Navajo, AZ"
DIC-1080,2440,55,D:11:1161,1757,"Navajo, AZ"
DIC-1084,2360,55,D:11:1162,1758,"Navajo, AZ"
DIC-1086,2130,55,D:11:1162,1758,"Navajo, AZ"
DIC-1213,2170,55,D:11:1411,1762,"Navajo, AZ"
DIC-1206,2230,55,D:7:1108,1777,"Navajo, AZ"
DIC-1613,2080,55,D:7:236,1783,"Navajo, AZ"
DIC-1615,2020,55,D:7:236,1783,"Navajo, AZ"
Beta-11068,2560,55,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-11069,2340,55,"D:7:618,SIU",1796,"Navajo, AZ"
DIC-1607,1940,55,D:7:713,1797,"Navajo, AZ"
AA-61194,2149,58,D:,1755,"Navajo, AZ"
Beta-3964,2260,60,D:11:244,1769,"Navajo, AZ"
Beta-3965,2090,60,D:11:244,1769,"Navajo, AZ"
Beta-5638,1890,60,D:11:3131,1772,"Navajo, AZ"
Beta-5639,2010,60,D:11:3133,1773,"Navajo, AZ"
Beta-5640,2210,60,D:11:3133,1773,"Navajo, AZ"
Beta-5645,2010,60,D:11:3133,1773,"Navajo, AZ"
Beta-5647,1850,60,D:11:3133,1773,"Navajo, AZ"
Beta-5648,1710,60,D:11:3133,1773,"Navajo, AZ"
Beta-3961,3290,60,D:7:2100,1782,"Navajo, AZ"
Beta-3356,2070,60,D:7:239,1784,"Navajo, AZ"
Beta-3962,2460,60,D:7:310,1791,"Navajo, AZ"
UGA-2121,985,60,P:,1143,"Navajo, AZ"
UGA-2267,1305,60,P:,1143,"Navajo, AZ"
Beta-59404,1020,60,P:4:22,1144,"Navajo, AZ"
Beta-59405,1030,60,P:4:22,1144,"Navajo, AZ"
Beta-57253,1320,60,P:60:31,1148,"Navajo, AZ"
Beta-57261,1350,60,P:60:31,1148,"Navajo, AZ"
Beta-73680,740,60,P:61:123,1149,"Navajo, AZ"
Beta-76312,1010,60,P:61:123,1149,"Navajo, AZ"
Beta-73686,820,60,P:61:125,1150,"Navajo, AZ"
Beta-56790,870,60,P:61:127,1152,"Navajo, AZ"
Beta-56791,1000,60,P:61:127,1152,"Navajo, AZ"
Beta-73688,1040,60,P:61:127,1152,"Navajo, AZ"
Beta-73689,930,60,P:61:127,1152,"Navajo, AZ"
Beta-55547,1770,60,P:61:19,1153,"Navajo, AZ"
Beta-55544/CAMS5796,1920,60,P:61:191,1154,"Navajo, AZ"
Beta-55547/CAMS5797,1770,60,P:61:191,1154,"Navajo, AZ"
Beta-87910,7130,60,"J:14:12,NNAD",1425,"Navajo, AZ"
Beta-87911,1980,60,"J:14:12,NNAD",1425,"Navajo, AZ"
Beta-73979,2230,60,"J:14:17,NNAD",1427,"Navajo, AZ"
Beta-73980,6030,60,"J:14:17,NNAD",1427,"Navajo, AZ"
Beta-73982,2180,60,"J:14:17,NNAD",1427,"Navajo, AZ"
Beta-73984,2190,60,"J:14:17,NNAD",1427,"Navajo, AZ"
Beta-79146,3740,60,"J:14:17,NNAD",1427,"Navajo, AZ"
Beta-94766,2010,60,"J:14:21,NNAD",1428,"Navajo, AZ"
Beta-79159,1640,60,"J:14:31,NNAD",1432,"Navajo, AZ"
Beta-101396,1730,60,J:14:34NNAD,1433,"Navajo, AZ"
Beta-94767,2120,60,"J:14:35,NNAD",1434,"Navajo, AZ"
Beta-94768,2080,60,"J:14:35,NNAD",1434,"Navajo, AZ"
Beta-94769,1800,60,"J:14:37,NNAD",1436,"Navajo, AZ"
Beta-87913,1770,60,"J:14:38,NNAD",1437,"Navajo, AZ"
Beta-87914,1750,60,"J:14:38,NNAD",1437,"Navajo, AZ"
Beta-56615,2720,60,J:14:41,1438,"Navajo, AZ"
Beta-68381,1710,60,J:14:41,1438,"Navajo, AZ"
Beta-68382,1500,60,J:14:41,1438,"Navajo, AZ"
Beta-94753,1750,60,"J:3:6,NNAD",1440,"Navajo, AZ"
Beta-94754,1850,60,"J:3:6,NNAD",1440,"Navajo, AZ"
Beta-94755,1840,60,"J:3:6,NNAD",1440,"Navajo, AZ"
Beta-94756,1820,60,"J:3:6,NNAD",1440,"Navajo, AZ"
Beta-87899,1730,60,"J:3:8,NNAD",1442,"Navajo, AZ"
Beta-87900,1780,60,"J:3:8,NNAD",1442,"Navajo, AZ"
Beta-87901,1960,60,"J:3:8,NNAD",1442,"Navajo, AZ"
Beta-87903,2190,60,"J:3:8,NNAD",1442,"Navajo, AZ"
DIC-1081,2340,60,D:11:1161,1757,"Navajo, AZ"
Beta-7788,1940,60,D:11:1410,1761,"Navajo, AZ"
Beta-7790,2360,60,D:11:1410,1761,"Navajo, AZ"
Beta-4513,2310,60,D:11:1504,1763,"Navajo, AZ"
Beta-5624,2160,60,D:11:2063,1766,"Navajo, AZ"
Beta-5626,1110,60,D:11:2068,1767,"Navajo, AZ"
Beta-5628,1110,60,D:11:2068,1767,"Navajo, AZ"
Beta-5631,1930,60,D:11:2126,1768,"Navajo, AZ"
Beta-5632,1830,60,D:11:2126,1768,"Navajo, AZ"
Beta-4509,2320,60,D:11:244,1769,"Navajo, AZ"
Beta-4510,2380,60,D:11:244,1769,"Navajo, AZ"
Beta-10084,1720,60,D:11:3133,1773,"Navajo, AZ"
Beta-10085,2120,60,D:11:3133,1773,"Navajo, AZ"
Beta-10086,2060,60,D:11:3133,1773,"Navajo, AZ"
Beta-10087,2260,60,D:11:3133,1773,"Navajo, AZ"
Beta-10089,2140,60,D:11:3133,1773,"Navajo, AZ"
Beta-10090,2140,60,D:11:3133,1773,"Navajo, AZ"
Beta-10091,2050,60,D:11:3133,1773,"Navajo, AZ"
Beta-7783,2160,60,D:11:449,1774,"Navajo, AZ"
Beta-7789,2270,60,D:11:449,1774,"Navajo, AZ"
Beta-4503,1900,60,D:7:151,1778,"Navajo, AZ"
Beta-4508,2620,60,D:7:2100,1782,"Navajo, AZ"
DIC-1610,1910,60,D:7:236,1783,"Navajo, AZ"
DIC-1611,2070,60,D:7:236,1783,"Navajo, AZ"
DIC-1614,2010,60,D:7:236,1783,"Navajo, AZ"
DIC-1616,1990,60,D:7:236,1783,"Navajo, AZ"
Beta-4506,2230,60,D:7:239,1784,"Navajo, AZ"
Beta-4507,2380,60,D:7:239,1784,"Navajo, AZ"
Beta-4505,2510,60,D:7:3013,1788,"Navajo, AZ"
Beta-4497,2240,60,D:7:3017,1789,"Navajo, AZ"
Beta-4498,2490,60,D:7:3017,1789,"Navajo, AZ"
Beta-4500,2170,60,D:7:3107,1792,"Navajo, AZ"
Beta-4501,2110,60,D:7:3107,1792,"Navajo, AZ"
Beta-5619,2010,60,D:7:3141,1793,"Navajo, AZ"
Beta-5623,1140,60,D:7:3194,1795,"Navajo, AZ"
Beta-31983,2180,60,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-97789,2220,60,"D:7:618,SIU",1796,"Navajo, AZ"
DIC-1608,1970,60,D:7:713,1797,"Navajo, AZ"
DIC-1609,2270,60,D:7:713,1797,"Navajo, AZ"
Beta-55544,1920,60,P:61:19,1153,"Navajo, AZ"
Beta-61510/CAMS5826,1450,60,P:61:193,1156,"Navajo, AZ"
Beta-61511/CAMS5827,1380,60,P:61:193,1156,"Navajo, AZ"
Beta-79145,1990,60,"J:14:17,NNAD",1427,"Navajo, AZ"
Beta-79149,2220,60,J:14:23,1429,"Navajo, AZ"
Beta-79150,2020,60,J:14:23,1429,"Navajo, AZ"
Beta-79162,3700,60,"J:14:31,NNAD",1432,"Navajo, AZ"
Beta-63306,7900,60,J:14:41,1438,"Navajo, AZ"
Beta-15940,2590,60,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-16022,2080,60,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-16023,1810,60,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-73983,2160,60,"J:14:17,NNAD",1427,"Navajo, AZ"
Beta-94759,1810,60,"J:3:7,NNAD",1441,"Navajo, AZ"
Beta-94760,7930,60,"J:3:7,NNAD",1441,"Navajo, AZ"
DIC-1211,2140,65,D:11:1410,1761,"Navajo, AZ"
DIC-1205,2150,65,D:7:1108,1777,"Navajo, AZ"
DIC-1612,1950,65,D:7:236,1783,"Navajo, AZ"
UGA-1676,1595,65,D:7:3013,1788,"Navajo, AZ"
AA-19519,2035,65,J:14:23,1429,"Navajo, AZ"
AA-19520,1940,65,J:14:23,1429,"Navajo, AZ"
AA-19521,1995,65,J:14:23,1429,"Navajo, AZ"
AA-19522,2005,65,J:14:23,1429,"Navajo, AZ"
AA-19523,1550,65,"J:14:31,NNAD",1432,"Navajo, AZ"
AA-19526,1535,65,J:14:41,1438,"Navajo, AZ"
Beta-5642,1970,70,D:11:3133,1773,"Navajo, AZ"
Beta-5644,1860,70,D:11:3133,1773,"Navajo, AZ"
Beta-5646,2010,70,D:11:3133,1773,"Navajo, AZ"
Beta-7200,6780,70,D:7:2085,1781,"Navajo, AZ"
Beta-55548/CAMS3722,790,70,P:61:192,1155,"Navajo, AZ"
UGa-2119,1540,70,P:,1143,"Navajo, AZ"
UGA-2263,1225,70,P:,1143,"Navajo, AZ"
Beta-59403,1140,70,P:4:22,1144,"Navajo, AZ"
Beta-50868,1220,70,P:60:118,1146,"Navajo, AZ"
Beta-57257,1350,70,P:60:31,1148,"Navajo, AZ"
Beta-55546/CAMS3721,1660,70,P:61:191,1154,"Navajo, AZ"
Beta-55549,1220,70,P:61:193,1156,"Navajo, AZ"
Beta-73981,2070,70,"J:14:17,NNAD",1427,"Navajo, AZ"
Beta-73989B,7880,70,"J:14:26,NNAD",1430,"Navajo, AZ"
Beta-79152,7880,70,"J:14:26,NNAD",1430,"Navajo, AZ"
Beta-79154,1270,70,"J:14:26,NNAD",1430,"Navajo, AZ"
Beta-73989A,7180,70,"J:14:31,NNAD",1432,"Navajo, AZ"
Beta-7781,1810,70,D:11:1176,1759,"Navajo, AZ"
DIC-1212,2370,70,D:11:1504,1763,"Navajo, AZ"
Beta-7784,1970,70,D:11:449,1774,"Navajo, AZ"
Beta-7785,2030,70,D:11:449,1774,"Navajo, AZ"
Beta-7786,2340,70,D:11:449,1774,"Navajo, AZ"
Beta-7201,7110,70,D:7:2085,1781,"Navajo, AZ"
Beta-5616,2180,70,D:7:254,1785,"Navajo, AZ"
Beta-26270,2380,70,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-26272,2365,70,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-26274,2350,70,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-26276,2440,70,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-26280,2280,70,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-55546,1660,70,P:61:19,1153,"Navajo, AZ"
Beta-73989,7880,70,"J:14:26,NNAD",1430,"Navajo, AZ"
Beta-68383,1640,70,J:14:41,1438,"Navajo, AZ"
Beta-15939,2260,70,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-68379,1810,70,J:14:41,1438,"Navajo, AZ"
Beta-97788,2260,70,"D:7:618,SIU",1796,"Navajo, AZ"
UGA-3982,2465,75,D:7:3013,1788,"Navajo, AZ"
UGA-1679,1540,75,D:7:3013,1788,"Navajo, AZ"
Beta-26281,2280,75,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-26282,2210,75,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-3958,2400,80,D:11:1504,1763,"Navajo, AZ"
Beta-5641,2140,80,D:11:3133,1773,"Navajo, AZ"
I-7918,2280,80,D:7:105,1776,"Navajo, AZ"
I-7913,2580,80,D:7:152,1779,"Navajo, AZ"
I-7914,2110,80,D:7:152,1779,"Navajo, AZ"
I-7915,2015,80,D:7:152,1779,"Navajo, AZ"
I-7917,935,80,D:7:154,1780,"Navajo, AZ"
Beta-4243,2395,80,D:7:239,1784,"Navajo, AZ"
UGA-3902,2165,80,D:7:239,1784,"Navajo, AZ"
UGA-3904,2245,80,D:7:239,1784,"Navajo, AZ"
UGA-3910,1570,80,D:7:262,1786,"Navajo, AZ"
UGa-2118,1785,80,P:,1143,"Navajo, AZ"
Beta-50869,840,80,P:60:123,1147,"Navajo, AZ"
Beta-57256,1300,80,P:60:31,1148,"Navajo, AZ"
Beta-57262,1300,80,P:60:31,1148,"Navajo, AZ"
Beta-55545,1700,80,P:61:191,1154,"Navajo, AZ"
Beta-55550,1140,80,P:61:193,1156,"Navajo, AZ"
Beta-87907,7880,80,"J:14:12,NNAD",1425,"Navajo, AZ"
Beta-94764,2090,80,"J:3:8,NNAD",1442,"Navajo, AZ"
DIC-1208,2920,80,D:11:1281,1760,"Navajo, AZ"
Beta-10082,1320,80,D:11:2030,1764,"Navajo, AZ"
Beta-5633,1150,80,D:11:3061,1770,"Navajo, AZ"
Beta-10081,1930,80,D:11:3133,1773,"Navajo, AZ"
Beta-10088,2530,80,D:11:3133,1773,"Navajo, AZ"
Beta-10080,2180,80,D:11:449,1774,"Navajo, AZ"
I-8047,2170,80,D:7:152,1779,"Navajo, AZ"
I-8402,2210,80,D:7:152,1779,"Navajo, AZ"
I-8403,2000,80,D:7:152,1779,"Navajo, AZ"
I-8404,2180,80,D:7:152,1779,"Navajo, AZ"
I-8405,2120,80,D:7:152,1779,"Navajo, AZ"
I-8406,2205,80,D:7:152,1779,"Navajo, AZ"
I-8407,2170,80,D:7:152,1779,"Navajo, AZ"
I-8408,2150,80,D:7:152,1779,"Navajo, AZ"
I-8409,2090,80,D:7:152,1779,"Navajo, AZ"
I-8410,2100,80,D:7:152,1779,"Navajo, AZ"
Beta-9836,4750,80,D:7:2085,1781,"Navajo, AZ"
Beta-4492,1840,80,D:7:3003,1787,"Navajo, AZ"
Beta-4495,2210,80,D:7:3003,1787,"Navajo, AZ"
Beta-4496,4480,80,D:7:3017,1789,"Navajo, AZ"
Beta-26273,2410,80,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-26277,2340,80,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-31984,2570,80,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-31986,1890,80,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-31985,2440,80,"D:7:618,SIU",1796,"Navajo, AZ"
UGA-3976,2065,85,D:7:151,1778,"Navajo, AZ"
UGA-3909,1410,85,D:7:262,1786,"Navajo, AZ"
UGA-3981,954,85,D:7:3045,1790,"Navajo, AZ"
Beta-12611,2140,85,D:,1755,"Navajo, AZ"
DIC-1088,1240,85,D:11:1158,1756,"Navajo, AZ"
AA-57728,844,87,D:,1755,"Navajo, AZ"
UGA-3908,1185,90,D:7:262,1786,"Navajo, AZ"
UGA-3911,2505,90,D:7:262,1786,"Navajo, AZ"
UGA-3983,2805,90,D:7:3013,1788,"Navajo, AZ"
UGA-3984,2590,90,D:7:3013,1788,"Navajo, AZ"
Beta-59402,1060,90,P:4:22,1144,"Navajo, AZ"
Beta-50867,1260,90,P:60:116,1145,"Navajo, AZ"
Beta-50870,860,90,P:60:123,1147,"Navajo, AZ"
Beta-87909,7320,90,"J:14:12,NNAD",1425,"Navajo, AZ"
Beta-73988,7970,90,"J:14:31,NNAD",1432,"Navajo, AZ"
Beta-12608,2500,90,D:,1755,"Navajo, AZ"
Beta-12610,2330,90,D:,1755,"Navajo, AZ"
Beta-12612,2160,90,D:,1755,"Navajo, AZ"
Beta-10079,1910,90,D:7:152,1779,"Navajo, AZ"
Beta-10083,5600,90,D:7:2085,1781,"Navajo, AZ"
Beta-10653,1000,90,D:7:2085,1781,"Navajo, AZ"
UGA-1674,1845,90,D:7:3013,1788,"Navajo, AZ"
Beta-5620,2870,90,D:7:3144,1794,"Navajo, AZ"
Beta-15938,2150,90,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-26278,2430,90,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-68376,7570,90,J:14:41,1438,"Navajo, AZ"
Beta-68380,1810,90,J:14:41,1438,"Navajo, AZ"
UGA-3903,1970,95,D:7:239,1784,"Navajo, AZ"
Beta-12609,2470,95,D:,1755,"Navajo, AZ"
GX-273,2020,95,D:7:103,1775,"Navajo, AZ"
Beta-5649,2040,100,D:11:3133,1773,"Navajo, AZ"
UGA-3905,2120,100,D:7:239,1784,"Navajo, AZ"
UGA-3978,2745,100,D:7:3003,1787,"Navajo, AZ"
Beta-73985,7870,100,"J:14:26,NNAD",1430,"Navajo, AZ"
Beta-79158,5990,100,"J:14:28,NNAD",1431,"Navajo, AZ"
Beta-7787,2230,100,D:11:1410,1761,"Navajo, AZ"
Beta-5614,2270,100,D:7:254,1785,"Navajo, AZ"
Beta-5621,2970,100,D:7:3144,1794,"Navajo, AZ"
Beta-26279,2580,100,"D:7:618,SIU",1796,"Navajo, AZ"
UGA-3907,1250,105,D:7:262,1786,"Navajo, AZ"
DIC-1209,3220,105,D:11:1281,1760,"Navajo, AZ"
Beta-73692,1050,110,P:61:127,1152,"Navajo, AZ"
Beta-10076,1560,110,D:11:1162,1758,"Navajo, AZ"
Beta-39577,3040,110,D:11:1504,1763,"Navajo, AZ"
Beta-10074,1810,110,D:7:254,1785,"Navajo, AZ"
Beta-34277,2740,110,D:7:3107,1792,"Navajo, AZ"
Beta-5618,1600,110,D:7:3141,1793,"Navajo, AZ"
UGA-3906,2320,120,D:7:239,1784,"Navajo, AZ"
A-550,1370,120,P:,1143,"Navajo, AZ"
Beta-57263,1290,120,P:60:31,1148,"Navajo, AZ"
Beta-10075,1840,120,D:11:449,1774,"Navajo, AZ"
Beta-10078,1840,120,D:11:449,1774,"Navajo, AZ"
Beta-9835,4780,120,D:7:2085,1781,"Navajo, AZ"
Beta-5636,2090,130,D:11:3131,1772,"Navajo, AZ"
Beta-73987,7820,130,"J:14:28,NNAD",1431,"Navajo, AZ"
Beta-10077,1820,130,D:11:2126,1768,"Navajo, AZ"
Beta-10099,1940,130,D:11:3133,1773,"Navajo, AZ"
UGA-1678,1895,130,D:7:3013,1788,"Navajo, AZ"
Beta-7780,2320,140,D:11:1281,1760,"Navajo, AZ"
Beta-26271,2880,140,"D:7:618,SIU",1796,"Navajo, AZ"
UGA-3980,2675,145,D:7:3003,1787,"Navajo, AZ"
Beta-4512,2040,150,D:11:1504,1763,"Navajo, AZ"
Beta-87906,5910,160,"J:14:12,NNAD",1425,"Navajo, AZ"
UGA-3977,2795,170,D:7:151,1778,"Navajo, AZ"
UGA-3985,2635,170,D:7:151,1778,"Navajo, AZ"
Beta-55551,1620,170,P:61:193,1156,"Navajo, AZ"
Beta-26275,3610,170,"D:7:618,SIU",1796,"Navajo, AZ"
Beta-2725,3610,170,"D:7:618,SIU",1796,"Navajo, AZ"
DIC-1210,2390,185,D:11:1410,1761,"Navajo, AZ"
Beta-57259,1400,190,P:60:31,1148,"Navajo, AZ"
DIC-1087,2080,200,D:11:1162,1758,"Navajo, AZ"
Beta-68375,7010,200,J:14:41,1438,"Navajo, AZ"
DIC-1085,2260,205,D:11:1162,1758,"Navajo, AZ"
UGA-3979,2090,250,D:7:3003,1787,"Navajo, AZ"
Beta-358112,3620,30,LA124584,1304,"Bernalillo, NM"
Beta-358113,240,30,LA124601,1305,"Bernalillo, NM"
Beta-26680,1300,70,LA60838,1306,"Bernalillo, NM"
Beta-257768,890,40,LA118501,1292,"Cibola, NM"
Beta-238168,600,40,LA153714,1293,"Cibola, NM"
Beta-238169,730,40,LA153714,1293,"Cibola, NM"
Beta-238170,810,40,LA153714,1293,"Cibola, NM"
Beta-238171,520,40,LA153714,1293,"Cibola, NM"
Beta-238172,730,40,LA153714,1293,"Cibola, NM"
Beta-238173,720,40,LA153714,1293,"Cibola, NM"
Beta-238175,570,40,LA153714,1293,"Cibola, NM"
Beta-238176,730,40,LA153714,1293,"Cibola, NM"
Beta-238398,670,40,LA153714,1293,"Cibola, NM"
Beta-238399,650,40,LA153714,1293,"Cibola, NM"
Beta-238400,600,40,LA153714,1293,"Cibola, NM"
Beta-44192,1150,50,LA3558,1294,"Cibola, NM"
Beta-44193,1210,50,LA3558,1294,"Cibola, NM"
Beta-61010,1150,50,LA3558,1294,"Cibola, NM"
AA-3631,760,50,LA9075,1296,"Cibola, NM"
AA-3632,753,50,LA9075,1296,"Cibola, NM"
Beta-238174,720,60,LA153714,1293,"Cibola, NM"
Beta-44191,1270,60,LA3558,1294,"Cibola, NM"
Beta-61009,1170,60,LA3558,1294,"Cibola, NM"
AA-3634,6615,60,LA9075,1296,"Cibola, NM"
Beta-238401,930,70,LA153714,1293,"Cibola, NM"
Beta-61006,1320,70,LA3558,1294,"Cibola, NM"
Beta-61007,1220,70,LA3558,1294,"Cibola, NM"
Beta-61008,1260,70,LA3558,1294,"Cibola, NM"
I-2909,1840,100,LA8763,1295,"Cibola, NM"
Beta-285950,2710,40,LA165819,125,"Doña Ana, NM"
Beta-285952,1280,40,LA165820,126,"Doña Ana, NM"
Beta-285948,990,40,LA165813,123,"Doña Ana, NM"
Beta-285949,1210,40,LA165817,124,"Doña Ana, NM"
Beta-285951,2650,40,LA165819,125,"Doña Ana, NM"
Beta-285953,2560,40,LA165821,127,"Doña Ana, NM"
Beta-285855,3230,40,LA165822,128,"Doña Ana, NM"
Beta-285954,3020,40,LA165822,128,"Doña Ana, NM"
Beta-285956,3610,40,LA165823,129,"Doña Ana, NM"
Beta-285957,2400,40,LA165824,130,"Doña Ana, NM"
Beta-285958,1490,40,LA165826,131,"Doña Ana, NM"
Beta-285959,1630,40,LA165826,131,"Doña Ana, NM"
